"id","exercise_id","review_enabled","review_tag","why_typical","site_review","sort_order","created_at","updated_at","is_deleted"
"1","120","t","优先队列","本题是「优先队列」的典型应用。","优先队列应用于动态求最值，中位数是前半部分的最大值，后半部分的最小值。数据是动态的，因此通过两个优先队列可以「动态地」求出中位数。","1","10/6/2026 21:34:11.367091","10/6/2026 21:34:11.367091","f"
"2","16","t","快速排序子过程","题号靠前，不难，但没学过算法很难做对（或者说答到考点）。","本题的考点是 partition，特指是三路快排。写对代码的关键是：把变量的定义和区间定义清楚。","2","10/6/2026 21:41:26.088024","10/6/2026 21:41:26.088024","f"
"3","26","t","二分查找（退出循环以后才能得到答案）","本题如果是套模板做，很可能能做对，但不能说清楚为什么代码这么写。","本题问题的本质是「必须退出循环以后才能确定答案」（区别与「可以在循环体内一下子找到答案」）。","3","10/6/2026 21:44:11.813026","10/6/2026 21:44:11.813026","f"
"4","303","t","循环不变量","本题不需要学习算法也能实现，主要考查编码的基本功（循环不变量）。","循环不变量不是什么高深的概念，就是让自己设计的变量的定义保持不变，所以我们一定要明确自己的变量定义，才能写出逻辑清晰的代码。","4","10/6/2026 23:01:29.700824","10/6/2026 23:01:29.700824","f"
"5","304","t","分而治之","题号靠前，分治算法典型例题。","大家不要记住递归，而要记「拆分问题」「解决问题」的思路。本题的思路是一半一半地拆，然后合并。代码写出来是递归，思想是分治。","5","10/6/2026 23:06:13.216661","10/6/2026 23:06:13.216661","f"
"6","13","t","分而治之","分治算法典型例题。","几乎就是写一次「归并排序」，「归并排序」是理解「分治算法」「递归」的很好的学习材料，多写几遍，一定会很有收获！","8","10/6/2026 23:06:13.55899","10/6/2026 23:06:13.55899","f"
"10","17","t","partition、优先队列","题号靠前，快速排序和优先队列的典型例题之一。","非常经典的问题，partition 和优先队列的解法思路很直接。","7","10/6/2026 23:10:15.453197","10/6/2026 23:10:15.453197","f"
"9","16","t","partition","题号靠前，快速排序的典型例题之一。","定义清楚变量和区间，编写代码的逻辑就很清晰了。","6","10/6/2026 23:10:15.453197","10/6/2026 23:10:15.453197","f"
"11","27","t","二分查找（需要退出循环以后才能确定）","如果乱套模板，会把代码写得很「乱」。","本质上本题属于「必须退出循环以后才能确定答案」的问题。","9","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"16","40","t","二分查找（需要退出循环以后才能确定）","本题也不能再循环体内一下子就找到答案。","本题有点难度，有很强的前提条件，可以当做例题学习。","14","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"12","28","t","二分查找（需要退出循环以后才能确定）","也是很简单的一道二分查找问题，查找一个有范围的整数，关键在理解题意：题目要找的是平方以后小于等于 x 的最大整数。","本质上本题属于「必须退出循环以后才能确定答案」的问题。","10","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"13","33","t","二分查找（需要退出循环以后才能确定）","旋转有序数组做这一题就可以了，其它旋转数组的问题在本题的基础上加了很多判别条件。","本质上本题属于「必须退出循环以后才能确定答案」的问题。","11","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"19","45","t","可以在循环体内找到，也可以留到最后。","题号靠前，比较经典的问题，有小概率会考到。","思想简单，找到单调性。编码较复杂，是一个比较好的练习。","17","11/6/2026 03:10:20.049294","11/6/2026 03:10:20.049294","f"
"14","35","t","二分查找（需要退出循环以后才能确定）","本题也不能再循环体内一下子就找到答案。","本题的「峰值」较难使用一个表达式表示出来，属于「必须退出循环以后才能确定答案」的问题。","12","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
