id,title,title_slug,difficulty,paid_only,url
1500,Design a File Sharing System,design-a-file-sharing-system,中等,是,https://leetcode.cn/problems/design-a-file-sharing-system/
1495,Friendly Movies Streamed Last Month,friendly-movies-streamed-last-month,简单,是,https://leetcode.cn/problems/friendly-movies-streamed-last-month/
1490,Clone N-ary Tree,clone-n-ary-tree,中等,是,https://leetcode.cn/problems/clone-n-ary-tree/
1484,Group Sold Products By The Date,group-sold-products-by-the-date,简单,否,https://leetcode.cn/problems/group-sold-products-by-the-date/
1485,Clone Binary Tree With Random Pointer,clone-binary-tree-with-random-pointer,中等,是,https://leetcode.cn/problems/clone-binary-tree-with-random-pointer/
1479,Sales by Day of the Week,sales-by-day-of-the-week,困难,是,https://leetcode.cn/problems/sales-by-day-of-the-week/
1499,Max Value of Equation,max-value-of-equation,困难,否,https://leetcode.cn/problems/max-value-of-equation/
1498,Number of Subsequences That Satisfy the Given Sum Condition,number-of-subsequences-that-satisfy-the-given-sum-condition,中等,否,https://leetcode.cn/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/
1497,Check If Array Pairs Are Divisible by k,check-if-array-pairs-are-divisible-by-k,中等,否,https://leetcode.cn/problems/check-if-array-pairs-are-divisible-by-k/
1496,Path Crossing,path-crossing,简单,否,https://leetcode.cn/problems/path-crossing/
1474,Delete N Nodes After M Nodes of a Linked List,delete-n-nodes-after-m-nodes-of-a-linked-list,简单,是,https://leetcode.cn/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,困难,否,https://leetcode.cn/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/
1488,Avoid Flood in The City,avoid-flood-in-the-city,中等,否,https://leetcode.cn/problems/avoid-flood-in-the-city/
1487,Making File Names Unique,making-file-names-unique,中等,否,https://leetcode.cn/problems/making-file-names-unique/
1486,XOR Operation in an Array,xor-operation-in-an-array,简单,否,https://leetcode.cn/problems/xor-operation-in-an-array/
1469,Find All The Lonely Nodes,find-all-the-lonely-nodes,简单,是,https://leetcode.cn/problems/find-all-the-lonely-nodes/
1468,Calculate Salaries,calculate-salaries,中等,是,https://leetcode.cn/problems/calculate-salaries/
1459,Rectangles Area,rectangles-area,中等,是,https://leetcode.cn/problems/rectangles-area/
1482,Minimum Number of Days to Make m Bouquets,minimum-number-of-days-to-make-m-bouquets,中等,否,https://leetcode.cn/problems/minimum-number-of-days-to-make-m-bouquets/
1481,Least Number of Unique Integers after K Removals,least-number-of-unique-integers-after-k-removals,中等,否,https://leetcode.cn/problems/least-number-of-unique-integers-after-k-removals/
1480,Running Sum of 1d Array,running-sum-of-1d-array,简单,否,https://leetcode.cn/problems/running-sum-of-1d-array/
1494,Parallel Courses II,parallel-courses-ii,困难,否,https://leetcode.cn/problems/parallel-courses-ii/
1493,Longest Subarray of 1's After Deleting One Element,longest-subarray-of-1s-after-deleting-one-element,中等,否,https://leetcode.cn/problems/longest-subarray-of-1s-after-deleting-one-element/
1492,The kth Factor of n,the-kth-factor-of-n,中等,否,https://leetcode.cn/problems/the-kth-factor-of-n/
1491,Average Salary Excluding the Minimum and Maximum Salary,average-salary-excluding-the-minimum-and-maximum-salary,简单,否,https://leetcode.cn/problems/average-salary-excluding-the-minimum-and-maximum-salary/
1473,Paint House III,paint-house-iii,困难,否,https://leetcode.cn/problems/paint-house-iii/
1472,Design Browser History,design-browser-history,中等,否,https://leetcode.cn/problems/design-browser-history/
1471,The k Strongest Values in an Array,the-k-strongest-values-in-an-array,中等,否,https://leetcode.cn/problems/the-k-strongest-values-in-an-array/
1470,Shuffle the Array,shuffle-the-array,简单,否,https://leetcode.cn/problems/shuffle-the-array/
1454,Active Users,active-users,中等,是,https://leetcode.cn/problems/active-users/
1445,Apples & Oranges,apples-oranges,中等,是,https://leetcode.cn/problems/apples-oranges/
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,困难,否,https://leetcode.cn/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls/
1466,Reorder Routes to Make All Paths Lead to the City Zero,reorder-routes-to-make-all-paths-lead-to-the-city-zero,中等,否,https://leetcode.cn/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,中等,否,https://leetcode.cn/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/
1464,Maximum Product of Two Elements in an Array,maximum-product-of-two-elements-in-an-array,简单,否,https://leetcode.cn/problems/maximum-product-of-two-elements-in-an-array/
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,find-two-non-overlapping-sub-arrays-each-with-target-sum,中等,否,https://leetcode.cn/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum/
1476,Subrectangle Queries,subrectangle-queries,中等,否,https://leetcode.cn/problems/subrectangle-queries/
1478,Allocate Mailboxes,allocate-mailboxes,困难,否,https://leetcode.cn/problems/allocate-mailboxes/
1475,Final Prices With a Special Discount in a Shop,final-prices-with-a-special-discount-in-a-shop,简单,否,https://leetcode.cn/problems/final-prices-with-a-special-discount-in-a-shop/
1458,Max Dot Product of Two Subsequences,max-dot-product-of-two-subsequences,困难,否,https://leetcode.cn/problems/max-dot-product-of-two-subsequences/
1457,Pseudo-Palindromic Paths in a Binary Tree,pseudo-palindromic-paths-in-a-binary-tree,中等,否,https://leetcode.cn/problems/pseudo-palindromic-paths-in-a-binary-tree/
1456,Maximum Number of Vowels in a Substring of Given Length,maximum-number-of-vowels-in-a-substring-of-given-length,中等,否,https://leetcode.cn/problems/maximum-number-of-vowels-in-a-substring-of-given-length/
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,简单,否,https://leetcode.cn/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/
1440,Evaluate Boolean Expression,evaluate-boolean-expression,中等,是,https://leetcode.cn/problems/evaluate-boolean-expression/
1435,Create a Session Bar Chart,create-a-session-bar-chart,简单,是,https://leetcode.cn/problems/create-a-session-bar-chart/
1453,Maximum Number of Darts Inside of a Circular Dartboard,maximum-number-of-darts-inside-of-a-circular-dartboard,困难,否,https://leetcode.cn/problems/maximum-number-of-darts-inside-of-a-circular-dartboard/
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,中等,否,https://leetcode.cn/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list/
1451,Rearrange Words in a Sentence,rearrange-words-in-a-sentence,中等,否,https://leetcode.cn/problems/rearrange-words-in-a-sentence/
1450,Number of Students Doing Homework at a Given Time,number-of-students-doing-homework-at-a-given-time,简单,否,https://leetcode.cn/problems/number-of-students-doing-homework-at-a-given-time/
1463,Cherry Pickup II,cherry-pickup-ii,困难,否,https://leetcode.cn/problems/cherry-pickup-ii/
1462,Course Schedule IV,course-schedule-iv,中等,否,https://leetcode.cn/problems/course-schedule-iv/
1461,Check If a String Contains All Binary Codes of Size K,check-if-a-string-contains-all-binary-codes-of-size-k,中等,否,https://leetcode.cn/problems/check-if-a-string-contains-all-binary-codes-of-size-k/
1460,Make Two Arrays Equal by Reversing Subarrays,make-two-arrays-equal-by-reversing-subarrays,简单,否,https://leetcode.cn/problems/make-two-arrays-equal-by-reversing-subarrays/
