id,review_tag,why_typical,site_review,title,leetcode_number
55,动态规划,非常经典的动态规划问题。,状态定义需要清楚「以什么什么结尾」，「结尾」很重要。,最大子数组和,53
37,优先队列,「合并两个有序数组」的扩展，常被称为「多路合并」问题。,思路很简单，在纸上编码没有那么容易，需要练习。,合并 k 个升序链表,23
66,动态规划,,,最长公共子序列,1143
1,优先队列,本题是「优先队列」的典型应用。,优先队列应用于动态求最值，中位数是前半部分的最大值，后半部分的最小值。数据是动态的，因此通过两个优先队列可以「动态地」求出中位数。,数据流的中位数,295
40,深度优先遍历、递归、哈希表,题目描述简单，面试、笔试有的可聊。,对前序、中序遍历定义的考查，还需要结合哈希表避免重复计算。,从前序与中序遍历序列构造二叉树,105
38,树,树的基础、常规问题。,使用深度优先遍历，记成「递归」也可以。,二叉树的最大深度,104
68,动态规划,,,二叉树中的最大路径和,124
10,partition、优先队列,题号靠前，快速排序和优先队列的典型例题之一。,非常经典的问题，partition 和优先队列的解法思路很直接。,数组中的第 K 个最大元素,215
56,动态规划,非常经典的动态规划问题。,写法不唯一，定义清楚状态即可写出。,打家劫舍,198
65,动态规划,,,最长有效括号,32
9,partition,题号靠前，快速排序的典型例题之一。,定义清楚变量和区间，编写代码的逻辑就很清晰了。,颜色分类,75
2,快速排序子过程,题号靠前，不难，但没学过算法很难做对（或者说答到考点）。,本题的考点是 partition，特指是三路快排。写对代码的关键是：把变量的定义和区间定义清楚。,颜色分类,75
28,链表,常规、基础问题。和「合并两个有序数组」的思路一样：看链表首结点。,可以自己设计指针修改，也可以使用递归。,合并两个有序链表,21
6,分而治之,分治算法典型例题。,几乎就是写一次「归并排序」，「归并排序」是理解「分治算法」「递归」的很好的学习材料，多写几遍，一定会很有收获！,LCR 170. 交易逆序对的总数,170
70,贪心算法,,,买卖股票的最佳时机 II,122
31,链表,快慢指针典型问题。,常考问题，解法单一，记住解法即可。,环形链表 II,142
5,分而治之,题号靠前，分治算法典型例题。,大家不要记住递归，而要记「拆分问题」「解决问题」的思路。本题的思路是一半一半地拆，然后合并。代码写出来是递归，思想是分治。,"Pow(x, n)",50
71,广度优先遍历,题号靠前的经典的、使用广度优先遍历解决的问题。,思想简单，可以考察编码的广度优先遍历的问题。,单词接龙,127
4,循环不变量,本题不需要学习算法也能实现，主要考查编码的基本功（循环不变量）。,循环不变量不是什么高深的概念，就是让自己设计的变量的定义保持不变，所以我们一定要明确自己的变量定义，才能写出逻辑清晰的代码。,删除有序数组中的重复项,26
32,双向链表、哈希表,常考算法与数据结构综合问题。,常考问题，靠前需要准备。,LRU 缓存,146
15,二分查找（需要退出循环以后才能确定）,题目要求返回任何一个峰值即可，不能在循环体内找到答案。,本题的「峰顶」也较难使用一个表达式表示出来，属于「必须退出循环以后才能确定答案」的问题。,山脉数组的峰顶索引,852
49,回溯算法,题号靠前，常考基础问题。,画出递归树，根据递归树编码。,括号生成,22
61,动态规划,,,完全平方数,279
50,回溯算法,常考问题。,深度优先遍历、广度优先遍历都可以实现。,岛屿数量,200
51,回溯算法,常考基础问题。,回溯算法的基础问题，代码较难一次写对，在面试、笔试前需要练习。,单词搜索,79
20,滑动窗口,题号靠前，很经典的滑动窗口问题。,理解为什么可以使用「滑动窗口」。,无重复字符的最长子串,3
33,栈,题号靠前，常见基础考题。,分析清楚「后进先出」，得到使用「栈」。,有效的括号,20
24,双指针,双指针典型问题。,题号靠前。理解为什么可以使用「双指针」。,盛最多水的容器,11
53,动态规划,动态规划基础问题，其实就是斐波拉契数列。,动态规划问题，如果之前没有学习过，在面试的时候较难写出来。,爬楼梯,70
22,双指针,双指针典型问题。,理解为什么可以使用「双指针」。「双指针」其实可以理解为排除法，缩小搜索区间。本题是「力扣」第 15 题的前置问题。,两数之和 II - 输入有序数组,167
26,缩小搜索区间,题目描述简单，如果没有看过解答还真不一定当场能够想到解法。,可以作为备考的题目背一背思路。,搜索二维矩阵 II,240
69,动态规划,在「力扣」0-1 背包问题不多，本题题号靠前。,需要理解问题如何转换成 0-1 背包问题。,分割等和子集,416
47,哈希表,典型哈希表的应用。,题号靠前，解法也需要一定的思考，面试笔试前需要做一下，复习一次。,最长连续序列,128
46,原地哈希,原地哈希的典型应用。,注意到数据的数值范围有限，数组本身就可以当做哈希表使用。,缺失的第一个正数,41
12,二分查找（需要退出循环以后才能确定）,也是很简单的一道二分查找问题，查找一个有范围的整数，关键在理解题意：题目要找的是平方以后小于等于 x 的最大整数。,本质上本题属于「必须退出循环以后才能确定答案」的问题。,x 的平方根,69
14,二分查找（需要退出循环以后才能确定）,本题也不能再循环体内一下子就找到答案。,本题的「峰值」较难使用一个表达式表示出来，属于「必须退出循环以后才能确定答案」的问题。,寻找峰值,162
